user_id,tag_1,tag_2,tag_3,tag_4,tag_5,num_trajectories,num_stay_points,num_clusters
user_825,amenity-kindergarten: 1,,,,,35,175,2
user_826,leisure-pitch: 2,amenity-school: 1,leisure-playground: 1,leisure-park: 1,,28,166,5
user_827,amenity-school: 4,leisure-park: 1,leisure-sports_centre: 1,shop-supermarket: 1,,83,383,6
user_828,leisure-park: 2,leisure-playground: 1,shop-bakery: 1,amenity-cafe: 1,leisure-pitch: 1,38,173,3
user_829,amenity-university: 6,leisure-park: 6,leisure-garden: 3,leisure-pitch: 3,historic-monument: 2,105,696,13
user_830,leisure-park: 1,shop-supermarket: 1,,,,33,121,3
user_831,amenity-bank: 3,leisure-garden: 1,shop-hairdresser: 1,,,41,107,3
user_832,amenity-restaurant: 9,amenity-bar: 5,amenity-pub: 4,shop-furniture: 3,amenity-school: 2,29,151,6
user_833,amenity-school: 3,shop-hairdresser: 3,amenity-dentist: 1,amenity-veterinary: 1,leisure-pitch: 1,58,246,5
user_834,shop-supermarket: 4,shop-confectionery: 1,shop-hairdresser: 1,amenity-clinic: 1,leisure-park: 1,111,535,12
user_835,amenity-kindergarten: 1,shop-supermarket: 1,leisure-sports_centre: 1,leisure-playground: 1,leisure-park: 1,42,307,9
user_836,amenity-restaurant: 2,shop-supermarket: 1,amenity-clinic: 1,leisure-park: 1,leisure-sports_centre: 1,42,489,10
user_837,amenity-clinic: 1,leisure-pitch: 1,leisure-park: 1,leisure-sports_centre: 1,,36,204,3
user_838,leisure-park: 2,amenity-school: 1,shop-confectionery: 1,shop-beauty: 1,shop-furniture: 1,39,176,6
user_839,amenity-school: 3,amenity-hospital: 2,leisure-park: 2,leisure-pitch: 2,shop-convenience: 2,28,239,4
user_840,amenity-university: 2,leisure-park: 2,leisure-garden: 1,amenity-bank: 1,leisure-swimming_pool: 1,59,251,3
user_841,amenity-marketplace: 5,amenity-school: 1,amenity-place_of_worship: 1,shop-supermarket: 1,amenity-cafe: 1,40,422,9
user_842,leisure-park: 5,amenity-cafe: 3,amenity-pharmacy: 3,amenity-school: 2,leisure-sports_centre: 2,96,568,9
user_843,amenity-university: 3,amenity-restaurant: 2,leisure-park: 2,amenity-pub: 1,leisure-garden: 1,84,406,6
user_844,amenity-bank: 3,amenity-bar: 2,shop-beauty: 2,leisure-park: 1,leisure-playground: 1,56,122,2
user_845,amenity-hospital: 1,,,,,48,162,2
user_846,leisure-swimming_pool: 1,leisure-playground: 1,leisure-pitch: 1,leisure-sports_centre: 1,,26,95,3
user_847,leisure-park: 1,tourism-museum: 1,historic-memorial: 1,amenity-ice_cream: 1,leisure-sports_centre: 1,50,268,3
user_848,amenity-place_of_worship: 4,shop-confectionery: 4,amenity-school: 3,shop-car_repair: 3,shop-supermarket: 3,92,553,14
user_849,leisure-park: 1,,,,,71,353,2
user_850,shop-hairdresser: 3,amenity-school: 2,shop-supermarket: 2,amenity-ice_cream: 2,amenity-place_of_worship: 2,110,610,12
user_851,shop-car_repair: 2,amenity-place_of_worship: 1,amenity-pub: 1,amenity-cafe: 1,amenity-nightclub: 1,106,398,6
user_852,shop-supermarket: 2,leisure-pitch: 1,amenity-restaurant: 1,leisure-park: 1,,38,242,4
user_853,amenity-fast_food: 4,amenity-place_of_worship: 3,amenity-bank: 2,amenity-restaurant: 2,amenity-cafe: 2,97,469,11
user_854,amenity-restaurant: 4,shop-department_store: 4,amenity-fast_food: 4,amenity-pub: 2,amenity-school: 1,33,193,6
user_855,shop-bakery: 4,amenity-restaurant: 3,shop-furniture: 3,shop-convenience: 3,shop-hairdresser: 2,84,334,7
user_856,leisure-swimming_pool: 1,leisure-playground: 1,leisure-sports_centre: 1,,,13,133,2
user_857,leisure-park: 4,amenity-bank: 2,amenity-cafe: 2,shop-hairdresser: 2,shop-hardware: 1,41,229,3
user_858,,,,,,25,185,4
user_859,amenity-restaurant: 1,,,,,74,317,3
user_860,amenity-bar: 1,,,,,26,132,1
user_861,amenity-school: 3,leisure-park: 2,shop-car_repair: 2,,,23,145,5
user_862,amenity-school: 1,amenity-place_of_worship: 1,amenity-restaurant: 1,leisure-park: 1,amenity-doctors: 1,46,332,7
user_863,amenity-bank: 2,shop-hairdresser: 2,shop-confectionery: 2,historic-monument: 2,amenity-cafe: 2,43,251,3
